sample.id	description	site	host_genus	host_species	host_species_ITS	latitude	longitude	Type	species.checked
Sample154	Sticta gyalocarpa 2	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_minutula	4.32281	-74.20647	Folioso	Sticta aff gyalocarpa
Sample155	Sticta gyalocarpa 3	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32342	-74.20583	Folioso	Sticta aff gyalocarpa
Sample156	Sticta gyalocarpa 4	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.31364	-74.20756	Folioso	Sticta aff gyalocarpa
Sample158	Sticta impressula 1	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.31364	-74.20756	Folioso	Sticta rhizinata
Sample159	Sticta impressula 2	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32281	-74.20647	Folioso	Sticta sylvatica
Sample160	Sticta impressula 3	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.32342	-74.20583	Folioso	Sticta rhizinata
Sample161	Sticta impressula 4	Paramo de Sumapaz	Sticta	impressula	Sticta_sp	4.32342	-74.20583	Folioso	Sticta andina
Sample163	Cora 11	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.30081	-74.21133	Folioso	Cora paraciferrii
Sample164	Cora 12	Paramo de Sumapaz	Cora	cora	Cora_sp	4.30081	-74.21133	Folioso	Cora paraciferrii
Sample165	Cora 13	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.30081	-74.21133	Folioso	Cora paraciferrii
Sample166	Cora 14	Paramo de Sumapaz	Cora	cora	Cora_sp	4.31364	-74.20756	Folioso	Cora accipiter
Sample167	Cora 15	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.31364	-74.20756	Folioso	Cora paraciferrii
Sample168	Cora 16	Paramo de Sumapaz	Cora	cora	Cora_sp	4.32281	-74.20647	Folioso	Cora aturuoca
Sample169	Cora 17	Paramo de Sumapaz	Cora	cora	Cora_putumayensis	4.32281	-74.20647	Folioso	Cora subdavidcrinita
Sample170	Cora 18	Paramo de Sumapaz	Cora	cora	Cora_celestinoa	4.32281	-74.20647	Folioso	Cora celestinoa
Sample171	Cora 19	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.32342	-74.20583	Folioso	Cora paraciferrii
Sample172	Cora 20	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.32342	-74.20583	Folioso	Cora paraciferrii
